latitude,longitude,DepthInMeters,ObservationDate
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,1/1/1999
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,9/30/1997
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.439,-87.57,69,8/1/1998
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,5/7/1997
29.445,-87.61,76,9/30/1997
29.445,-87.61,76,9/30/1997
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,8/1/1998
29.445,-87.61,76,1/1/1999
29.445,-87.61,76,1/1/1999
29.438,-87.57,79,3/21/1997
29.438,-87.57,79,3/21/1997
29.438,-87.57,79,3/21/1997
29.438,-87.57,79,5/7/1997
29.438,-87.57,79,5/7/1997
29.438,-87.57,79,5/7/1997
29.438,-87.57,79,5/7/1997
29.438,-87.57,79,9/30/1997
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.438,-87.57,79,8/1/1998
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,5/7/1997
29.328,-87.77,103,10/28/1997
29.328,-87.77,103,10/28/1997
29.328,-87.77,103,10/28/1997
29.328,-87.77,103,10/28/1997
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
29.328,-87.77,103,8/1/1998
